category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,discount_abs,discount_pct,ram_per_core,high_refresh_rate,cpu_power_proxy,res_w,res_h,pixel_count
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,AMD Ryzen 7 8745HS,512.0,AMD Radeon 780M,Windows Home,16.0,16.0,7.0,1.79,IPS,DDR5,"Металл, Пластик",AMD Ryzen 7,AMD,3.8,8.0,1920x1200,no_data,74.0,Матовое,Встроенная,AMD,SSD,60.0,1.0,410511.0,49.18,2.0,False,30.4,1920.0,1200.0,2304000.0
laptop,"Windows Ноутбук 14"", Intel Pentium N3700, RAM 12 ГБ, SSD 512 ГБ, Intel HD Graphics, Windows Pro, серебристый, Русская раскладка",145303.0,244674.0,12109.0,4.5,230.0,SKG,4.5,Intel Pentium N3700,512.0,Intel HD Graphics,Windows Pro,14.0,12.0,7.0,1.2,TN,"DDR3, DDR4",ABS пластик,Intel Pentium,Intel,2.4,4.0,1366x768,Нет,56.0,Матовое,Встроенная,Intel,SSD,60.0,0.3,99371.0,40.61,3.0,False,9.6,1366.0,768.0,1049088.0
laptop,"Lenovo Серый Ноутбук 14"", Intel Core Ultra 7 255H, RAM 32 ГБ 1024 ГБ, Intel Arc Graphics, Windows Home, серебристый, серый, Русская раскладка",966211.0,1337621.0,80518.0,4.9,30.0,LosTelecom,5.0,Intel Core Ultra 7 255H,1024.0,Intel Arc Graphics,Windows Home,14.0,32.0,7.0,1.36,IPS,DDR5,Алюминий,Intel Core Ultra 7,Intel,5.1,16.0,3072x1920,Нет,85.0,Матовое,Дискретная,Intel,no_data,120.0,2.0,371410.0,27.77,2.0,True,81.6,3072.0,1920.0,5898240.0
laptop,"Apple MacBook Pro 14 M5 2025 Ноутбук 14.2"", RAM 16 ГБ, SSD 1024 ГБ, Apple M5, MacOS, (MDE54), серебристый, Русская раскладка",1286411.0,11446113.0,107201.0,5.0,22.0,MacTop,5.0,no_data,1024.0,Apple M5,MacOS,14.2,16.0,24.0,1.55,Liquid Retina XDR,DDR5,Алюминий,Apple M5,Apple,4.05,10.0,3024x1964,Нет,56.0,Матовое,Встроенная,Apple,SSD,120.0,2.0,10159702.0,88.76,1.6,True,40.5,3024.0,1964.0,5939136.0
laptop,"MSI Vector 16 HX Ai A2XWHG-080XRU Игровой ноутбук 16"", Intel Core Ultra 7 255HX, RAM 64 ГБ, SSD 2048 ГБ, NVIDIA GeForce RTX 5070 Ti для ноутбуков (12 Гб), Windows Pro, (9S7-15M352-080/64GB/2TB/WIN11PRO), серый, Русская раскладка",424220.0,834731.0,154504.0,4.9,30.0,MetaComp,4.8,Intel Core Ultra 7 255HX,2048.0,NVIDIA GeForce RTX 5070 Ti для ноутбуков (12 Гб),Windows Pro,16.0,64.0,3.0,1.7,no_data,DDR5,no_data,Intel Core Ultra 7,no_data,2.3,20.0,2560x1600,Нет,56.0,Матовое,Дискретная,no_data,SSD,240.0,2.0,410511.0,49.18,3.2,True,46.0,2560.0,1600.0,4096000.0
laptop,"HP Pavilion Gaming 15-cx0030ur Игровой ноутбук 15.6"", Intel Core i5-8300H, RAM 8 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1050 (4 Гб), Windows Pro, черный",424220.0,834731.0,24995.0,4.9,30.0,НОУТБУК плюс,4.8,Intel Core i5-8300H,512.0,NVIDIA GeForce GTX 1050 (4 Гб),Windows Pro,15.6,8.0,7.0,1.7,no_data,DDR4,no_data,Intel Core i5,Intel,4.0,4.0,no_data,no_data,56.0,no_data,Дискретная,no_data,SSD,60.0,2.0,410511.0,49.18,2.0,False,16.0,1920.0,1080.0,2073600.0
laptop,"QOPP SSD 256 ГБ Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, серый, Русская раскладка",424220.0,834731.0,14781.0,4.7,199.0,ООО МВЛ,4.7,Intel Celeron N5095,256.0,Intel UHD Graphics,Windows Pro,15.6,16.0,5.0,1.76,IPS,DDR4,ABS пластик,Intel N5095,Intel,2.9,4.0,1920x1080,Нет,38.5,Глянцевое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,4.0,False,11.6,1920.0,1080.0,2073600.0
laptop,"HUAWEI Ноутбук 14.2"", Intel Core Ultra 7 155H, RAM 16 ГБ, SSD 1000 ГБ, Intel Arc Graphics, Без системы, (53014MTK), синий, Русская раскладка",424220.0,834731.0,80645.0,5.0,110.0,КомпьютерМаркет,4.8,Intel Core Ultra 7 155H,1000.0,Intel Arc Graphics,Без системы,14.2,16.0,8.0,1.0,OLED,DDR5,Металл,Intel Core Ultra 7,Intel,3.8,16.0,3120x2080,Да,70.0,Глянцевое,Встроенная,Intel,SSD,120.0,2.0,410511.0,49.18,1.0,True,60.8,3120.0,2080.0,6489600.0
laptop,"Lenovo Ноутбук 14"", Qualcomm Snapdragon X Plus X1P-42-100, RAM 16 ГБ, SSD 512 ГБ, Qualcomm Adreno, Windows Home, (83HL004ERK), серый, Русская раскладка",475910.0,985528.0,39660.0,4.9,30.0,F5it,4.8,Qualcomm Snapdragon X Plus X1P-42-100,512.0,Qualcomm Adreno,Windows Home,14.0,16.0,7.0,1.48,IPS,no_data,Металл,Snapdragon X Plus,Qualcomm,3.4,8.0,1920x1200,Нет,57.0,no_data,Встроенная,no_data,SSD,60.0,2.0,509618.0,51.71,2.0,False,27.2,1920.0,1200.0,2304000.0
laptop,"Dell Latitude 7410 2019 Ноутбук 14"", Intel Core i7-10610U, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, черный, черно-серый, Русская раскладка",424220.0,834731.0,20578.0,4.9,30.0,Золотая рыбка,4.8,Intel Core i7-10610U,512.0,Intel UHD Graphics,Windows Pro,14.0,16.0,7.0,1.33,IPS,DDR4,"ABS пластик, Алюминиевый сплав, Алюминий, SBS пластик, Металл, Металлизированный материал, Пластик",Intel Core i5,Intel,1.8,4.0,1920x1080,Нет,56.0,Матовое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,4.0,False,7.2,1920.0,1080.0,2073600.0
